,Application_Number,Trade_Name,Sponsor_Name,Expiration,Patent,Action,Date,Date_Withdrawn,Description,Ingredients,Number,Petitioner,Sponsor_When_Withdrawn,Address,City,CountryProvince,License_No.,Site_Name,State,Zip_Code
234,042-740,"Ripercol L, Tramisol® Soluble Drench Powder for Sheep",Zoetis Inc.,10/09/2016,6020343,Filed,10/08/2009,09/06/2005,"The petitioner requests to file an ANADA for gonadorelin injection for use in dairy cattle that differs from the pioneer product, Cystorelin® sponsored by Merial Ltd. under NADA 098-379.  The pioneer product contains 43 µg gonadorelin per mL. The proposed generic product will differ in strength from 86 µg /mL.","Chlortetracycline Bisulfate, Sulfamethazine",09P-0499/CP1,Parnell Technologies Pty Ltd.,"Purina Mills, Inc.",301 West A Street,McCook,United States,500-535,"Frenchman Valley Farmers Coop, Inc.",NE,69001
235,042-837,"Ripercol L Wormer Oblets, Tramisol® Sheep Wormer Oblets",Zoetis Inc.,10/09/2016,5981576,Filed,10/08/2009,09/24/2010,"The petitioner requests to file an ANADA for gonadorelin injection for use in dairy cattle that differs from the pioneer product, Cystorelin® sponsored by Merial Ltd. under NADA 098-379. The pioneer product contains 43 µg gonadorelin per mL. The proposed generic product is for a change in strength to 100 µg gonadorelin per mL.",Chloramphenicol,10P-0028/CP1,Parnell Technologies Pty Ltd.,John J. Ferrante,4107 Avenue 360,Traver,United States,500-103,Fresno Farming L.L.C.,CA,93673
236,042-841,Amforol® Veterinary Oral Tablets,Zoetis Inc.,03/04/2025,8022089,Filed,03/23/2010,02/13/2012,"The petitioner requests to file an ANADA for a generic sulfamethoxazole and trimethoprim powder that differs from the pioneer product, TRIBRISSEN 400 Oral Paste, sponsored by Intervet, Inc., under NADA 131-918.  The generic product will differ in one of the two active ingredients by substituting sulfamethoxazole for sulfadiazine and in dosage form.  The petitioner also requests that FDA select TUCOPRIM Powder, sponsored by Pharmacia & Upjohn Company Division of Pfizer Inc., under ANADA 200-244, as the RLNAD for its proposed generic product.",Chloramphenicol,10-P-0170/CP,"Lannett Company, Inc.","Evsco Pharmaceuticals, An Affiliate of IGI, Inc.",11500 Golden Isle East,Surrency,United States,501-600,"Fries Farms, LLC",GA,31563
237,042-883,Kantrim® Ophthalmic Solution,Zoetis Inc.,12/22/2031,9532978,Denied,06/15/2010,07/31/1989,"The petitioner requests to file an ANADA for a generic sulfamethoxazole and trimethoprim powder that differs from the pioneer product, TRIBRISSEN 400 Oral Paste, sponsored by Intervet, Inc., under NADA 131-918.  The generic product will differ in one of the two active ingredients by substituting sulfamethoxazole for sulfadiazine and in dosage form.  The petitioner also requests that FDA select TUCOPRIM Powder, sponsored by Pharmacia & Upjohn Company Division of Pfizer Inc., under ANADA 200-244, as the RLNAD for its proposed generic product.","Bacitracin methylenedisalicylate, Streptomycin Sulfate",10-P-0170/CP,"Lannett Company, Inc.","Mallinckrodt Veterinary, Inc.",2370 FM 3140,Friona,United States,501-546,Friona Feedyard,TX,79035
238,042-888,"Banminth®, Strongid®",Zoetis Inc.,04/26/2025,7662972,Filed,10/10/2010,09/19/1994,Request to increase the strength of Salinomycin sodium Type A medicated feed article from 60 g/lb to 90 g/lb,Chlortetracycline Bisulfate,10P-0552/CP,Huvepharma AD,"American Cyanamid, Division AHP Corp.",531 County Road 153,Muleshoe,United States,501-511,Frontera Feedyard,TX,79347
239,043-078,Centrine Oral Tablets,Zoetis Inc.,12/22/2031,9173870,Approved,01/04/2011,06/15/2015,Request to increase the strength of Salinomycin sodium Type A medicated feed article from 60 g/lb to 90 g/lb,Chlortetracycline Hydrochloride,10P-0552/CP,Huvepharma AD,Hartz Mountain Products Corp.,"HCR 3, Box 37",Spearman,United States,501-251,Frontier Feedyard,TX,79081
240,043-079,Centrine Injectable,Zoetis Inc.,03/04/2025,8492311,Denied,02/02/2011,02/13/2012,Request permission for change in strength,"Chloramphenicol, Prednisolone Acetate",11P-0078-0001/CP,Ceva Sante Animale,"Evsco Pharmaceuticals, An Affiliate of IGI, Inc.",2002 SD HWY 314,Yankton,United States,500-342,"Frontier Mills, Inc.",SD,57078
241,043-290,BANMINTH® 48 ,Phibro Animal Health Corp.,09/18/2018,8182835,Approved,03/22/2011,02/12/1998,Request to change the strength and dosage form of an omeprazole paste (37% w/w) to a 570 mg omeprazole tablet (19% w/w).,Chloramphenicol,10P-0639-1,"Dinsmore & Shohl, LLP","Zenith Laboratories, Inc.",2000 Expansion Boulevard,Storm Lake,United States,500-941,Furst-McNess Company,IA,50588
242,043-304,Ketaset®,Zoetis Inc.,09/18/2018,9205052,Filed,05/06/2011,05/03/2023,"The petitioner requests to file an ANADA for a generic marbofloxacin chewable tablet that differs from the pioneer product, ZENEQUIN Tablets, sponsored by Pfizer, Inc., under NADA 141-151.  The generic product will differ in dosage form.  The RLNAD is a coated, single scored tablet, and the proposed generic product is a chewable tablet.",Penicillin V Potassium,11-P-0335-1,"Norbrook, Inc.",Boehringer lngelheim Animal Health USA Inc.,780 Rundell Road,Gering,United States,500-169,Furst-McNess Company,NE,69341
243,043-606,"Atgard® Swine Wormer, Atgard® V Swine Wormer",Cronus Pharma Specialities India Private Limited,09/18/2018,8834921,Approved,06/22/2011,05/03/2023,"The petitioner requests to file an ANADA for a generic marbofloxacin chewable tablet that differs from the pioneer product, ZENEQUIN Tablets, sponsored by Pfizer, Inc., under NADA 141-151.  The generic product will differ in dosage form.  The RLNAD is a coated, single scored tablet, and the proposed generic product is a chewable tablet.",Penicillin G Potassium,11-P-0335-1,"Norbrook, Inc.",Boehringer lngelheim Animal Health USA Inc.,501 S Main Street,Garnavillo,United States,501-371,Garnavillo Mill Inc.,IA,52049
244,043-784,Kanfosone Ointment,Zoetis Inc.,02/13/2021,6291523,Filed,05/20/2011,03/02/2018,"The petitioner requests to file an ANADA for a generic clenbuterol hydrochloride rapidly disintegrating tablet that differs from the pioneer product, VENTIPULMIN Syrup, sponsored by Boehringer Ingelheim Vetmedica, Inc., under NADA 140-973.  The generic product will differ in dosage form and concentration.  The RLNAD is a syrup containing 72.5 mcg/mL and the proposed generic product is a rapidly disintegrating tablet containing 362.5 mcg/250 mg tablet.","Dihydrostreptomycin Sulfate, Streptomycin Sulfate",11-P-0397-1,"NewMarket Pharmaceuticals, LLC",Zoetis Inc.,1205 N Hwy 98,Okeechobee,United States,501-497,"Gator Feed Co., Inc.",FL,34972
245,043-785,Albon Oral Suspension 5%,Zoetis Inc.,08/25/2018,6310099,Denied,08/11/2011,03/02/2018,"The petitioner requests to file an ANADA for a generic clenbuterol hydrochloride rapidly disintegrating tablet that differs from the pioneer product, VENTIPULMIN Syrup, sponsored by Boehringer Ingelheim Vetmedica, Inc., under NADA 140-973.  The generic product will differ in dosage form and concentration.  The RLNAD is a syrup containing 72.5 mcg/mL and the proposed generic product is a rapidly disintegrating tablet containing 362.5 mcg/250 mg tablet.",Streptomycin Sulfate,11-P-0397-1,"NewMarket Pharmaceuticals, LLC",Zoetis Inc.,44 North 3rd Street,Denver,United States,500-713,Gehman Feed Mill Inc.,PA,17517
246,044-012,Gecolate,Summit Hill Laboratories,09/13/2036,010603672,Filed,01/27/2012,04/04/2008,"The petitioner requests to file an ANADA for a generic florfenicol injection that differs from the pioneer product, NUFLOR Injectable Solution, sponsored by Intervet Inc., under NADA 141-063.  The generic product will differ in the formulation, elimation of one route of administration, and the removal of a class of animal from the indications.  The RLNAD is formulated as a non-aqueous solution and the proposed generic product will be formulated as an aqueous solution.  The sponsor proposed to remove intramuscular injection as a route of administration.  The sponsor proposed to remove dairy cattle from the labeled indications.",Chloramphenicol,12-P-0072-1,Cook Animal Health,"Eon Labs Manufacturing, Inc.", 560 Caverns Rd.,Mount Jackson,United States,500-566,"George's Family Farms, LLC",VA,22842
247,044-611,Talwin®-V Sterile Aqueous Injection,Zoetis Inc.,09/25/2039,11583545,Denied,03/22/2012,02/12/1998,"The petitioner requests to file an ANADA for a generic florfenicol injection that differs from the pioneer product, NUFLOR Injectable Solution, sponsored by Intervet Inc., under NADA 141-063.  The generic product will differ in the formulation, elimation of one route of administration, and the removal of a class of animal from the indications.  The RLNAD is formulated as a non-aqueous solution and the proposed generic product will be formulated as an aqueous solution.  The sponsor proposed to remove intramuscular injection as a route of administration.  The sponsor proposed to remove dairy cattle from the labeled indications.",Tetracycline Hydrochloride,12-P-0072-1,Cook Animal Health,"Zenith Laboratories, Inc.",61 Kratzer Road,Harrisonburg,United States,501-345,"George's Foods, LLC",VA,22802
248,044-756,Butatron®,Bimeda Animal Health Limited,01/17/2030,8383659,Filed,03/29/2012,04/04/2008,"The petitioner requests to file an ANADA for a generic ivermectin impregnated, flavored, and dissolvable film strip that differs from the pioneer product, EQVALAN Oral Paste, sponsored by Merial Ltd., under NADA 134-314.  The generic product will differ in the dosage form.  The RLNAD is an oral paste and the proposed generic is an impregnated, flavored, dissolvable film strip.",Penicillin G Procaine,12-P-0313-1,Con Vet GmbH & Co.,G.C. Hanford Mfg. Co.,Hwy 37 and W,Cassville,United States,501-466,"George's of Missouri, Inc.",MO,65625
249,044-757,Prolate I-E,"Intervet, Inc.",02/19/2028,9308197,Denied,08/15/2012,01/19/1992,"The petitioner requests to file an ANADA for a generic ivermectin impregnated, flavored, and dissolvable film strip that differs from the pioneer product, EQVALAN Oral Paste, sponsored by Merial Ltd., under NADA 134-314.  The generic product will differ in the dosage form.  The RLNAD is an oral paste and the proposed generic is an impregnated, flavored, dissolvable film strip.",Penicillin G Procaine,12-P-0313-1,Con Vet GmbH & Co.,Boehringer lngelheim Animal Health USA Inc.,402 West Robinson Avenue,Springdale,United States,500-852,"George's, Inc.",AR,72764
250,044-759,Flavomycin® 4,Huvepharma EOOD,05/19/2030,8871795,Filed,05/09/2012,11/28/1994,"The petitioner requests to file an ANADA for a generic hyaluronate sodium injectable solution that differs from the pioneer product, LEGEND Injectable Solution, sponsored by Bayer Healthcare LLC, Animal Health Division, under NADA 140-883.  The generic product will differ in strength and packaging.  The RLNAD is 10 mg/mL solution supplied as a 2 mL, single-dose vial for intra-articular (IA) or intravenous (IV) use; or, as a 4 mL single-dose vial for IV use only.  The generic product proposes an injectable solution, supplied as a 1.18 mL (20 mg; 16.9 mg/mL) pre-filled, single-dose, glass syringe for IV or IA injection; or, as a 2.35 mL (40 mg; 17.0 mg/mL) pre-filled, single-dose, glass syringe for IV use only.",Tetracycline Hydrochloride,12-P-0462,"Douglass Oeller Consulting, Inc.",Lemmon Co.,938 Millers Chapel Rd,Goldsboro,United States,500-337,"GMC Legacy, LLC",NC,27534
251,045-143,Oxyject®,Cronus Pharma Specialities India Private Limited,08/28/2033,9200003,Approved,11/29/2012,02/13/2012,"The petitioner requests to file an ANADA for a generic hyaluronate sodium injectable solution that differs from the pioneer product, LEGEND Injectable Solution, sponsored by Bayer Healthcare LLC, Animal Health Division, under NADA 140-883.  The generic product will differ in strength and packaging.  The RLNAD is 10 mg/mL solution supplied as a 2 mL, single-dose vial for intra-articular (IA) or intravenous (IV) use; or, as a 4 mL single-dose vial for IV use only.  The generic product proposes an injectable solution, supplied as a 1.18 mL (20 mg; 16.9 mg/mL) pre-filled, single-dose, glass syringe for IV or IA injection; or, as a 2.35 mL (40 mg; 17.0 mg/mL) pre-filled, single-dose, glass syringe for IV use only.","Penicillin G Benzathine, Penicillin G Procaine",12-P-0462,"Douglass Oeller Consulting, Inc.","Walco International, Inc.",783 Eagle Blvd,Shelbyville,United States,501-620,Gold River Feed Products,TN,37160
252,045-188,Lasix® Packets,"Intervet, Inc.",11/18/2019,6797701,Filed,05/16/2012,04/08/2020,"The petitioner requests to file an ANADA for a generic carprofen flavored oral paste that differs from the pioneer product, RIMADYL Chewable Tablets, sponsored by Pfizer, Inc., under NADA 141-111.  The generic product will differ in the dosage form and concentration.  The RLNAD is a scored chewable tablet available in 25, 75, and 100 mg tablet sizes.  The propsed generic product is a flavored oral paste containing 25 mg carprofen per 1 gram of paste.",Penicillin G Procaine,12-P-0492-1,"Med-Pharmex, Inc.","Norbrook Laboratories, Ltd.",8th and Monroe,Eagle Grove,United States,500-216,Gold-Eagle Cooperative,IA,50533
253,045-290,Vetalar®,Boehringer lngelheim Animal Health USA Inc.,03/08/2032,9226928,Approved,08/02/2012,04/08/2020,"The petitioner requests to file an ANADA for a generic carprofen flavored oral paste that differs from the pioneer product, RIMADYL Chewable Tablets, sponsored by Pfizer, Inc., under NADA 141-111.  The generic product will differ in the dosage form and concentration.  The RLNAD is a scored chewable tablet available in 25, 75, and 100 mg tablet sizes.  The propsed generic product is a flavored oral paste containing 25 mg carprofen per 1 gram of paste.","Penicillin G Benzathine, Penicillin G Procaine",12-P-0492-1,"Med-Pharmex, Inc.","Norbrook Laboratories, Ltd.",85 13th Street NE,Cullman,United States,500-838,Golden Rod Feed Mill,AL,35055
254,045-348,"Albac® / Deccox®, Broiler Finisher Medicated",Phibro Animal Health Corp.,03/08/2032,8466115,Filed,05/18/2012,11/02/2018,"The petitioner requests to file an ANADA for a generic enrofloxacin formed soft chewable tablet that differs from the pioneer product, BAYTRIL TASTE TABS, sponsored by Bayer Healthcare LLC, Animal Health Division, under NADA 140-441.  The generic product will differ in the dosage form.  The RLNAD is a compressed (hard) tablet while the proposed generic product will be a soft chewable tablet, with a texture similar to semi-moist dog food.",Piperazine Phosphate,12-P-0497-1,Piedmont Animal Health,"Virbac AH, Inc.",4 mi S on US 183,Gonzales,United States,500-895,Graham Land & Cattle,TX,78629
255,045-416,Tevcodyne Injectable,Elanco US Inc.,05/05/2037,11344047,Approved,08/31/2012,03/10/2014,"The petitioner requests to file an ANADA for a generic enrofloxacin formed soft chewable tablet that differs from the pioneer product, BAYTRIL TASTE TABS, sponsored by Bayer Healthcare LLC, Animal Health Division, under NADA 140-441.  The generic product will differ in the dosage form.  The RLNAD is a compressed (hard) tablet while the proposed generic product will be a soft chewable tablet, with a texture similar to semi-moist dog food.","Bacitracin Zinc, Decoquinate, Roxarsone",12-P-0497-1,Piedmont Animal Health,Zoetis Inc.,355 NW 30th Avenue,Great Bend,United States,501-440,Great Bend Feeding,KS,67530
